time: 231ms, objective = 236
time: 250ms, objective = 224
time: 258ms, objective = 223
time: 264ms, objective = 222
time: 271ms, objective = 218
time: 278ms, objective = 217
time: 284ms, objective = 216
time: 290ms, objective = 215
time: 296ms, objective = 214
time: 303ms, objective = 212
time: 309ms, objective = 210
time: 316ms, objective = 208
time: 322ms, objective = 205
time: 328ms, objective = 204
time: 334ms, objective = 202
time: 340ms, objective = 201
time: 345ms, objective = 197
time: 353ms, objective = 193
time: 359ms, objective = 192
time: 365ms, objective = 191
time: 371ms, objective = 190
time: 378ms, objective = 188
time: 384ms, objective = 187
time: 390ms, objective = 186
time: 397ms, objective = 181
time: 403ms, objective = 180
time: 421ms, objective = 178
time: 427ms, objective = 176
time: 433ms, objective = 175
time: 439ms, objective = 174
time: 445ms, objective = 171
time: 451ms, objective = 168
time: 457ms, objective = 167
time: 463ms, objective = 165
time: 469ms, objective = 164
time: 475ms, objective = 163
time: 481ms, objective = 162
time: 487ms, objective = 160
time: 492ms, objective = 159
time: 497ms, objective = 158
time: 503ms, objective = 156
time: 509ms, objective = 153
time: 515ms, objective = 152
time: 521ms, objective = 151
time: 526ms, objective = 150
time: 531ms, objective = 147
time: 537ms, objective = 145
time: 542ms, objective = 144
time: 548ms, objective = 143
time: 553ms, objective = 142
time: 558ms, objective = 140
time: 564ms, objective = 139
time: 569ms, objective = 138
time: 573ms, objective = 137
time: 579ms, objective = 136
time: 585ms, objective = 134
time: 591ms, objective = 133
time: 597ms, objective = 132
time: 601ms, objective = 129
time: 607ms, objective = 127
time: 613ms, objective = 125
time: 619ms, objective = 124
time: 623ms, objective = 123
time: 628ms, objective = 122
time: 634ms, objective = 120
time: 639ms, objective = 118
time: 644ms, objective = 117
time: 649ms, objective = 116
time: 654ms, objective = 115
time: 659ms, objective = 114
time: 664ms, objective = 113
time: 670ms, objective = 112
time: 675ms, objective = 111
time: 680ms, objective = 110
time: 686ms, objective = 109
time: 690ms, objective = 107
time: 696ms, objective = 106
time: 702ms, objective = 105
time: 707ms, objective = 104
time: 711ms, objective = 103
time: 717ms, objective = 102
time: 721ms, objective = 101
time: 726ms, objective = 100
time: 731ms, objective = 99
time: 736ms, objective = 97
time: 740ms, objective = 96
time: 745ms, objective = 94
time: 751ms, objective = 90
time: 755ms, objective = 89
time: 759ms, objective = 87
time: 764ms, objective = 83
time: 768ms, objective = 82
time: 772ms, objective = 81
time: 776ms, objective = 80
time: 780ms, objective = 78
time: 785ms, objective = 76
time: 788ms, objective = 75
time: 793ms, objective = 72
time: 797ms, objective = 71
time: 800ms, objective = 70
time: 804ms, objective = 69
time: 808ms, objective = 68
time: 812ms, objective = 67
time: 816ms, objective = 66
time: 820ms, objective = 65
time: 824ms, objective = 64
time: 828ms, objective = 63
time: 832ms, objective = 62
time: 836ms, objective = 61
time: 840ms, objective = 60
time: 844ms, objective = 59
time: 849ms, objective = 57
time: 853ms, objective = 55
time: 857ms, objective = 54
time: 862ms, objective = 53
time: 866ms, objective = 52
time: 870ms, objective = 50
time: 875ms, objective = 49
time: 879ms, objective = 48
time: 884ms, objective = 46
time: 888ms, objective = 45
time: 891ms, objective = 44
time: 895ms, objective = 40
time: 899ms, objective = 39
time: 903ms, objective = 38
time: 907ms, objective = 37
time: 911ms, objective = 36
time: 915ms, objective = 35
time: 919ms, objective = 34
time: 922ms, objective = 33
time: 926ms, objective = 32
time: 929ms, objective = 30
time: 933ms, objective = 29
time: 949ms, objective = 28
Found optimal solution with makespan 28 at time: 953ms
