vars = 31855, values = 31381time: 164ms, objective = 226
time: 177ms, objective = 224
time: 186ms, objective = 223
time: 199ms, objective = 222
time: 209ms, objective = 220
time: 222ms, objective = 218
time: 233ms, objective = 217
time: 249ms, objective = 216
time: 258ms, objective = 215
time: 270ms, objective = 214
time: 285ms, objective = 213
time: 296ms, objective = 211
time: 309ms, objective = 210
time: 320ms, objective = 209
time: 330ms, objective = 208
time: 344ms, objective = 207
time: 357ms, objective = 206
time: 369ms, objective = 205
time: 380ms, objective = 203
time: 396ms, objective = 202
time: 411ms, objective = 201
time: 424ms, objective = 200
time: 437ms, objective = 199
time: 450ms, objective = 198
time: 459ms, objective = 197
time: 484ms, objective = 196
time: 496ms, objective = 195
time: 512ms, objective = 193
time: 527ms, objective = 191
time: 540ms, objective = 190
time: 548ms, objective = 188
time: 559ms, objective = 187
time: 571ms, objective = 185
time: 584ms, objective = 184
time: 593ms, objective = 183
time: 605ms, objective = 182
time: 618ms, objective = 181
time: 628ms, objective = 180
time: 641ms, objective = 179
time: 650ms, objective = 178
time: 663ms, objective = 177
time: 675ms, objective = 176
time: 682ms, objective = 175
time: 692ms, objective = 174
time: 704ms, objective = 173
time: 718ms, objective = 172
time: 728ms, objective = 171
time: 740ms, objective = 170
time: 750ms, objective = 169
time: 759ms, objective = 168
time: 773ms, objective = 167
time: 784ms, objective = 166
time: 796ms, objective = 165
time: 806ms, objective = 163
time: 813ms, objective = 162
time: 825ms, objective = 161
time: 835ms, objective = 160
time: 847ms, objective = 159
time: 855ms, objective = 158
time: 863ms, objective = 157
time: 873ms, objective = 156
time: 883ms, objective = 155
time: 890ms, objective = 154
time: 903ms, objective = 153
time: 914ms, objective = 152
time: 925ms, objective = 149
time: 934ms, objective = 147
time: 948ms, objective = 144
time: 957ms, objective = 143
time: 966ms, objective = 141
time: 976ms, objective = 140
time: 987ms, objective = 139
time: 995ms, objective = 138
time: 1s, objective = 137
time: 1s, objective = 134
time: 1s, objective = 133
time: 1s, objective = 132
time: 1s, objective = 131
time: 1s, objective = 130
time: 1s, objective = 129
time: 1s, objective = 128
time: 1s, objective = 127
time: 1s, objective = 122
time: 1s, objective = 121
time: 1s, objective = 120
time: 1s, objective = 119
time: 1s, objective = 118
time: 1s, objective = 117
time: 1s, objective = 116
time: 1s, objective = 115
time: 1s, objective = 114
time: 1s, objective = 113
time: 1s, objective = 112
time: 1s, objective = 111
time: 1s, objective = 110
time: 1s, objective = 109
time: 1s, objective = 108
time: 1s, objective = 107
time: 1s, objective = 105
time: 1s, objective = 104
time: 1s, objective = 102
time: 1s, objective = 101
time: 1s, objective = 100
time: 1s, objective = 99
time: 1s, objective = 98
time: 1s, objective = 97
time: 1s, objective = 96
time: 1s, objective = 95
time: 1s, objective = 94
time: 1s, objective = 93
time: 1s, objective = 92
time: 1s, objective = 91
time: 1s, objective = 90
time: 1s, objective = 89
time: 1s, objective = 88
time: 1s, objective = 87
time: 1s, objective = 86
time: 1s, objective = 85
time: 1s, objective = 84
time: 1s, objective = 83
time: 1s, objective = 82
time: 1s, objective = 81
time: 1s, objective = 80
time: 1s, objective = 79
time: 1s, objective = 78
time: 1s, objective = 77
time: 1s, objective = 76
time: 1s, objective = 75
time: 1s, objective = 74
time: 1s, objective = 73
time: 1s, objective = 71
time: 1s, objective = 70
time: 1s, objective = 69
time: 1s, objective = 68
time: 1s, objective = 67
time: 2s, objective = 66
time: 2s, objective = 65
time: 2s, objective = 63
time: 2s, objective = 62
time: 2s, objective = 61
time: 2s, objective = 60
time: 2s, objective = 59
time: 2s, objective = 58
time: 2s, objective = 57
time: 2s, objective = 56
time: 2s, objective = 55
time: 2s, objective = 54
time: 2s, objective = 53
time: 2s, objective = 51
time: 2s, objective = 50
time: 2s, objective = 48
time: 2s, objective = 47
time: 2s, objective = 45
time: 2s, objective = 44
time: 2s, objective = 41
time: 2s, objective = 40
time: 2s, objective = 39
time: 2s, objective = 38
time: 2s, objective = 37
time: 2s, objective = 35
time: 2s, objective = 34
time: 2s, objective = 33
time: 2s, objective = 32
time: 2s, objective = 31
time: 2s, objective = 30
time: 2s, objective = 29
time: 2s, objective = 28
time: 2s, objective = 27
Found optimal solution with makespan 27 at time: 2s
